X,Y,OBJECTID,NCES_TYPE,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,URL,NCES_ID,TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,L_SRC
112601.2267,872959.261799999,40,"4-year, Private not-for-profit",Springfield College,Main Campus,263 Alden Street,Springfield,01109,,SPRINGFIELD,(413) 748-3000,http://www.springfield.edu/,167899,PRI,Private College,"B, M, PMC, D","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",,City: Midsize,Yes,nces.ed.gov
109684.416199997,873022.741799999,41,"4-year, Private not-for-profit",Cambridge College,Springfield,1500 Main Street,Springfield,01115,,SPRINGFIELD,(413) 747-0204,https://springfield.cambridgecollege.edu/,165167,PRI,Private College,"C, B, PBC, M, PMC, D","Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship",,City: Midsize,No,nces.ed.gov
110804.792800002,873717.9826,42,"2-year, Public",Springfield Technical Community College,,1 Armory Square,Springfield,01102,9000,SPRINGFIELD,(413) 781-7822,http://www.stcc.edu,167905,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,City: Midsize,No,nces.ed.gov
322250.285300002,783925.5121,43,"4-year, Public",University of Massachusetts Nantucket Field Station,Nantucket Field Station,180 Polpis Road,Nantucket,02554,,NANTUCKET,(508) 228-9475,https://www.umb.edu/nantucket/,166638,PUB,University of Massachusetts,"M, D","Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",Intercampus Marine Science Graduate Program,City: Large,Yes,nces.ed.gov
249167.695799999,816268.286800001,44,"4-year, Public",University of Massachusetts Dartmouth School for Marine Science and Technology,New Bedford - West,706 South Rodney French Boulevard,New Bedford,02744,1221,NEW BEDFORD,(508) 999-8193,http://www.umassd.edu/smast/,167987,PUB,University of Massachusetts,"C, B, PBC, M, PMC, D","Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",Marine Science & Technology,Suburb: Midsize,Yes,nces.ed.gov
241202.324199997,820084.6479,45,"4-year, Public",University of Massachusetts Dartmouth,Dartmouth,285 Old Westport Road,North Dartmouth,02747,2300,DARTMOUTH,(508) 999-8000,http://www.umassd.edu,167987,PUB,University of Massachusetts,"C, B, PBC, M, PMC, D","Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",,Suburb: Midsize,Yes,nces.ed.gov
247858.8112,820718.128800001,46,"2-year, Public",Bristol Community College,New Bedford,800 Purchase Street,New Bedford,02740,,NEW BEDFORD,(508) 984-8226,https://bristolcc.edu/locations/newbedford/index.html,165033,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
300843.190800004,823015.1074,47,"2-year, Public",Cape Cod Community College,Satellite Campus Hyannis,540 Main Street,Hyannis,02601,1599,BARNSTABLE,(508) 362-2131,http://www.capecod.edu/,165194,PUB,Community College,"C, A","Less than one year certificate;Associate's degree",,City: Small,No,nces.ed.gov
242636.292000003,823585.6316,48,"4-year, Public",University of Massachusetts School of Law,UMass Dartmouth,333 Faunce Corner Road,North Dartmouth,02747,,DARTMOUTH,(508) 999-8000,http://www.umassd.edu/law/,167987,PUB,University of Massachusetts,D,"Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",Law,Suburb: Midsize,No,nces.ed.gov
247868.108599998,824790.5077,49,"< 2-year, Private for-profit",Rob Roy Academy,New Bedford,1872 Acushnet Avenue,New Bedford,02720,,NEW BEDFORD,(508) 995-8711,http://www.rob-roy.com,167039,PRI,Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Midsize,No,nces.ed.gov
231024.402999997,825636.0493,50,"4-year, Public",University of Massachusetts Dartmouth Center for Innovation and Entrepreneurship,Fall River,151 Martine Street,Fall River,02723,,FALL RIVER,(508) 910-9800,https://www.umassd.edu/innovate/,167987,PUB,University of Massachusetts,"C, B, PBC, M, PMC, D","Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",Innovation & Entrepreneurship,Suburb: Midsize,Yes,nces.ed.gov
111242.353399999,890133.105099998,51,"4-year, Private not-for-profit",Mount Holyoke College,,50 College Street,South Hadley,01075,,SOUTH HADLEY,(413) 538-2000,http://www.mtholyoke.edu,166939,PRI,Women's Liberal Arts College,"B, PBC, M","Bachelor's degree;Master's degree",,Suburb: Large,Yes,nces.ed.gov
236444.529700004,890136.110399999,52,"4-year, primarily associate's, Private not-for-profit",Laboure College of Healthcare,,303 Adams Street,Milton,02186,,MILTON,(617) 202-3149,http://www.laboure.edu,165264,PRI,Medical Program,"C, A, B","Less than one year certificate;Associate's degree;Bachelor's degree",,Suburb: Large,No,nces.ed.gov
174616.614200003,890397.760899998,53,"< 2-year, Private for-profit",Rob Roy Academy,Worcester,150 Pleasant Sreett,Worcester,01609,,WORCESTER,(508) 799-2111,http://www.rob-roy.com,373696,PRI,Private Vocational School,C,"Less than one year certificate;One but less than two years certificate","Cosmetology/Cosmetologist, General",City: Midsize,No,nces.ed.gov
175197.292000003,890432.2082,54,"4-year, Private not-for-profit",New England School of Acupuncture at MCPHS,Worcester,19 Norwich Street,Worcester,01608,,WORCESTER,(508) 373-5607,https://www.mcphs.edu/academics/school-of-acupuncture,166656,PRI,Graduate Medical Program,"C, M, D","Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree",Accupuncture,City: Midsize,No,nces.ed.gov
175209.443400003,890475.932700001,55,"4-year, Private not-for-profit",Massachusetts College of Pharmacy and Health Science,Worcester,19 Foster Street,Worcester,01608,,WORCESTER,(508) 373-5607,https://www.mcphs.edu/,166656,PRI,Medical School,"C, B, PBC, M, PMC, D","Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree",Pharmacy/Health Science,City: Midsize,Yes,nces.ed.gov
171768.1281,890967.560400002,56,"4-year, Public",Worcester State University,,486 Chandler Street,Worcester,01602,2597,WORCESTER,(508) 929-8000,http://www.worcester.edu,168430,PUB,State University,"B, PBC, M, PMC","Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate",Education,City: Midsize,Yes,nces.ed.gov
177047.234200001,890988.4309,57,"< 2-year, Private for-profit",Bancroft School of Massage Therapy,,333 Shrewsbury Street,Worcester,01604,,WORCESTER,(508) 757-7923,http://www.bancroftsmt.com,164599,PRI,Medical Program,C,Less than one year certificate,Massage Therapy/Therapeutic Massage,City: Midsize,No,nces.ed.gov
240339.412699997,891306.8365,58,"4-year, Private not-for-profit",Eastern Nazarene College,,23 East Elm Avenue,Quincy,02170,,QUINCY,(617) 745-3000,http://www.enc.edu,165644,PRI,Liberal Arts College,"A, B, M","Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree",,Suburb: Large,Yes,nces.ed.gov
174457.689199999,891527.193,59,"4-year, Private not-for-profit",Worcester Polytechnic Institute,,100 Institute Road,Worcester,01609,,WORCESTER,(508) 831-5000,http://www.wpi.edu,168421,PRI,Research University,"B, PBC, M, D","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship",Technical Program,City: Midsize,Yes,nces.ed.gov
178408.154200003,891937.210900001,60,"4-year, Public",University of Massachusetts Chan Medical School,Worcester,55 Lake Avenue North,Worcester,01655,,WORCESTER,(508) 856-1542,http://www.umassmed.edu,166708,PUB,University of Massachusetts,"M, PMC, D","Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",Medicine & Biomedical Science,City: Midsize,No,nces.ed.gov
174581.136600003,892745.751600001,61,"< 2-year, Private for-profit",Toni & Guy Hairdressing Academy,Worcester,6 Park Avenue,Worcester,01605,,WORCESTER,(508) 756-6060,http://worcester.toniguy.edu/,434344,PRI,Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Midsize,No,nces.ed.gov
188804.930200003,892859.0902,62,"< 2-year, Private for-profit",Spa Tech Institute,Westboro,227 Turnpike Road,Westboro,01581,,WESTBOROUGH,(508) 836-8864,https://www.spatech.edu/,445647,PRI,Private Vocational School,C,Less than one year certificate,Aesthetician/Esthetician and Skin Care Specialist,Suburb: Large,No,nces.ed.gov
207086.869999997,893523.567699999,63,"2-year, Public",Massachusetts Bay Community College,Framingham,19 Flagg Drive,Framingham,01702,5928,FRAMINGHAM,(508) 270-4000,http://www.massbay.edu,166647,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
216014.994199999,893687.350900002,64,"4-year, Private not-for-profit",Wellesley College,,106 Central Street,Wellesley,02481,8203,WELLESLEY,(781) 283-1000,http://www.wellesley.edu,168218,PRI,Women's Liberal Arts College,B,Bachelor's degree,,Suburb: Large,Yes,nces.ed.gov
219465.9692,893690.018399999,65,"4-year, Private not-for-profit",Franklin W. Olin College of Engineering,,1000 Olin Way,Needham,02492,1245,NEEDHAM,(781) 292-2300,http://www.olin.edu,441982,PRI,Private College,B,Bachelor's degree,Engineering,Suburb: Large,Yes,nces.ed.gov
172870.670299999,893796.261799999,66,"4-year, Private not-for-profit",Assumption University,,500 Salisbury Street,Worcester,01609,1296,WORCESTER,(508) 767-7000,http://www.assumption.edu,164562,PRI,Liberal Arts College,"C, A, B, PBC, M, PMC","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate",,City: Midsize,Yes,nces.ed.gov
224467.710199997,893883.586199999,67,"4-year, Private not-for-profit",William James College,,1 Wells Avenue,Newton,02459,,NEWTON,(617) 327-6777,http://www.williamjames.edu/,166717,PRI,Private College,"B, PBC, M, D","Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice",Psychology,City: Small,No,nces.ed.gov
205270.9617,894171.497099999,68,"4-year, Public",Framingham State University,,100 State Street,Framingham,01701,9101,FRAMINGHAM,(508) 620-1220,http://www.framingham.edu,165866,PUB,State University,"B, PBC, M","Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate",Education,City: Small,Yes,nces.ed.gov
219279.526100002,894189.506000001,69,"4-year, Private not-for-profit",Babson College,,231 Forest Street,Wellesley,02457,0310,WELLESLEY,(781) 235-1200,http://www.babson.edu,164580,PRI,Business School,"B, M, PMC","Bachelor's degree;Postbaccalaureate certificate;Master's degree",Business,Suburb: Large,Yes,nces.ed.gov
236561.239200003,895186.4318,70,"< 2-year, Private for-profit",Jupiter Beauty Academy,,95 Freeport Street,Boston,02122,2834,BOSTON,(617) 288-1811,http://www.jupiterbeautyacademy.com/,484057,PRI,Private Vocational School,C,"Less than one year certificate;One but less than two years certificate",Nail Technician/Specialist and Manicurist,City: Large,No,nces.ed.gov
219485.394199997,895750.100900002,71,"2-year, Public",Massachusetts Bay Community College,Wellesley Hills,50 Oakland Street,Wellesley Hills,02481,,WELLESLEY,(781) 239-3000,http://www.massbay.edu,166647,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,Suburb: Large,No,nces.ed.gov
175686.314199999,895962.150899999,72,"2-year, Public",Quinsigamond Community College,,670 West Boylston Street,Worcester,01606,,WORCESTER,(508) 854-4262,http://www.qcc.edu,167534,PUB,Community College,"C, A","Less than one year certificate;One but less than two years certificate;Associate's degree",,City: Midsize,No,nces.ed.gov
237942.844999999,896082.866,73,"4-year, Public",University of Massachusetts Boston,Boston,100 Morrissey Boulevard,Boston,02125,3393,BOSTON,(617) 287-5000,http://www.umb.edu,166638,PUB,University of Massachusetts,"C, B, PBC, M, PMC, D","Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice",,City: Large,Yes,nces.ed.gov
230562.754199997,896349.320900001,74,"4-year, Private not-for-profit",Hellenic College-Holy Cross Greek Orthodox School of Theology,,50 Goddard Avenue,Brookline,02445,,BROOKLINE,(617) 731-3500,http://www.hchc.edu,166054,PRI,Liberal Arts College,"B, M","Bachelor's degree;Postbaccalaureate certificate;Master's degree",Greek Orthodox Studies,Suburb: Large,Yes,nces.ed.gov
236026.055200003,900548.025899999,75,"< 2-year, Private for-profit",Empire Beauty School,Boston,30 West Street,Boston,02111,,BOSTON,(508) 370-7447,https://www.empire.edu/cosmetology-schools/massachusetts/boston?v=local,164845,PRI,Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Large,No,nces.ed.gov
235097.334200002,900619.4109,76,"4-year, Private not-for-profit",Fisher College,,118 Beacon Street,Boston,02116,,BOSTON,(617) 236-8800,http://www.fisher.edu,165802,PRI,Liberal Arts College,"C, A, B, M","One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree",,City: Large,Yes,nces.ed.gov
236181.312700003,900906.0308,77,"4-year, Private not-for-profit",Suffolk University,,73 Tremont Street,Boston,02108,,BOSTON,(617) 573-8000,http://www.suffolk.edu,168005,PRI,Research University,"C, A, B, PBC, M, PMC, D","Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - profes",,City: Large,Yes,nces.ed.gov
233614.186099999,901103.524300002,78,"4-year, Private not-for-profit",Massachusetts Institute of Technology,,77 Massachusetts Avenue,Cambridge,02139,4307,CAMBRIDGE,(617) 253-1000,http://web.mit.edu,166683,PRI,Research University,"B, M, D","Bachelor's degree;Master's degree;Doctor's degree - research/scholarship",,City: Midsize,Yes,nces.ed.gov
236694.2764,901466.738000002,79,"2-year, Private not-for-profit",North Bennet Street School,,150 North Street,Boston,02109,,BOSTON,(617) 227-0155,http://www.nbss.org,167297,PRI,Technical Institute,C,"One but less than two years certificate;Two but less than 4 years certificate",Furniture Design and Manufacturing,City: Large,No,nces.ed.gov
